"treatment_id","first_author","doi","commercial_affiliation","publication_date","journal","study_type","gender_ratio","dose_range","race_ethnicity","notes"
"1","Amatachaya, Anuwat","10.1155/2014/173073","No conflicts of interest. ","October 2014","Behavioural Neurology","Randomized Double-blind Placebo Controlled ","100% M","1mA anodal tDCS targeting left dorsolateral prefrontal cortex (DLPFC), or sham (placebo) tDCS","Not reported","Results of this study are not explained very clearly. "
"2","Veenstra-VanderWeele, Jeremy","10.1038/npp.2016.237","Seaside Therapeutics, Roche, Novartis, SynapDx, Forest, Springer and wiley. ","November 9, 2016","Neuropsychopharmacology","Randomized Double-blind Placebo Controlled  ","124 M: 26 F","","96 White Non-Hispanic; 19 White Hispanic; 17 African American; 8 Asian; 10 Other",""
"3","Delahunty, C","","","2013","American Academy of Pediatrics","RCT - Phase 2","124 M: 26 F","max: 10 mg 3x/d for 5-11y, 15 mg 3x/d for 12-21 y","",""
"4","Delahunty, C","","","2013","American Academy of Pediatrics","RCT - Phase 2","124 M: 26 F","max: 10 mg 3x/d for 5-11y, 15 mg 3x/d for 12-21 y","",""
"3","Berry-Kravis, EM","10.1126/scitranslmed.3004214","No conflicts of interest","2012","Science Translational Medicine","Randomized Double-blind Placebo Controlled  - Pilot","55 M: 8 F","max: 10 mg BID for children, 10 mg 3x/d for adults","",""
"4","Berry-Kravis, EM","10.1126/scitranslmed.3004214","No conflicts of interest","2012","Science Translational Medicine","Randomized Double-blind Placebo Controlled  - Pilot","55 M: 8 F","max: 10 mg BID for children, 10 mg 3x/d for adults","",""
"5","Ichikawa, Hironobu","10.1007/s10578-016-0704-x","3 authors are Employees of Otsuka Pharmaceutical Co. ","December 21, 2016","Child Psychiatry and Human Development","Randomized Double-blind Placebo Controlled  ","17 F: 75 M","1-15 mg/d; Mean: 8.1 mg/d (SD: 2.0)","Conducted with 'specific populations considering influence of genetic/physiologic variation and/or cultural environmental difference on treatment variable'. ","This study was conducted to test the effects of aripiprazole treatment in Japanese children, as all studies of this drug had used primarily caucasion populations in the U.S. "
"6","Ichikawa, Hironobu","10.1007/s10578-016-0704-x","3 authors are Employees of Otsuka Pharmaceutical Co. ","December 21, 2016","Child Psychiatry and Human Development","Randomized Double-blind Placebo Controlled  ","17 F: 75 M","1-15 mg/d; Mean: 8.1 mg/d (SD: 2.0)","Conducted with 'specific populations considering influence of genetic/physiologic variation and/or cultural environmental difference on treatment variable'. ","This study was conducted to test the effects of aripiprazole treatment in Japanese children, as all studies of this drug had used primarily caucasion populations in the U.S. "
"7","Ichikawa, Hironobu","10.1007/s10578-016-0704-x","3 authors are Employees of Otsuka Pharmaceutical Co. ","December 21, 2016","Child Psychiatry and Human Development","Randomized Double-blind Placebo Controlled  ","17 F: 75 M","1-15 mg/d; Mean: 8.1 mg/d (SD: 2.0)","Conducted with 'specific populations considering influence of genetic/physiologic variation and/or cultural environmental difference on treatment variable'. ","This study was conducted to test the effects of aripiprazole treatment in Japanese children, as all studies of this drug had used primarily caucasion populations in the U.S. "
"8","Ichikawa, Hironobu","10.1007/s10578-016-0704-x","3 authors are Employees of Otsuka Pharmaceutical Co. ","December 21, 2016","Child Psychiatry and Human Development","Randomized Double-blind Placebo Controlled  ","17 F: 75 M","1-15 mg/d; Mean: 8.1 mg/d (SD: 2.0)","Conducted with 'specific populations considering influence of genetic/physiologic variation and/or cultural environmental difference on treatment variable'. ","This study was conducted to test the effects of aripiprazole treatment in Japanese children, as all studies of this drug had used primarily caucasion populations in the U.S. "
"5","Findling, Robert","","Conflicts of interest. Affiliations with: Kennedy Krieger Institute, Johns Hopkins University, Bristol-Meyers Squibb (9/10 Authors), Otsuka Pharmaceutical Co, Genzyme Corp","January 2014","Journal of Clinical Psychiatry","Randomized placebo controlled relapse prevention trial","17 F: 68 M","2-15 mg/d, flexible dose; Mean dose: ","69.4% white; 22.4% black;                           3% Asian; 1% American Indian/Alaska Native;                                        13% other","9/10 authors associated with Otsuka Pharmaceuticals and Bristol-Myers Squibb, both of which are primary shareholders in Abilify. "
"6","Findling, Robert","","Conflicts of interest. Affiliations with: Kennedy Krieger Institute, Johns Hopkins University, Bristol-Meyers Squibb (9/10 Authors), Otsuka Pharmaceutical Co, Genzyme Corp","January 2014","Journal of Clinical Psychiatry","Randomized placebo controlled relapse prevention trial","17 F: 68 M","2-15 mg/d, flexible dose; Mean dose: ","69.4% white; 22.4% black;                           3% Asian; 1% American Indian/Alaska Native;                                        13% other","9/10 authors associated with Otsuka Pharmaceuticals and Bristol-Myers Squibb, both of which are primary shareholders in Abilify. "
"7","Findling, Robert","","Conflicts of interest. Affiliations with: Kennedy Krieger Institute, Johns Hopkins University, Bristol-Meyers Squibb (9/10 Authors), Otsuka Pharmaceutical Co, Genzyme Corp","January 2014","Journal of Clinical Psychiatry","Randomized placebo controlled relapse prevention trial","17 F: 68 M","2-15 mg/d, flexible dose; Mean dose: ","69.4% white; 22.4% black;                           3% Asian; 1% American Indian/Alaska Native;                                        13% other","9/10 authors associated with Otsuka Pharmaceuticals and Bristol-Myers Squibb, both of which are primary shareholders in Abilify. "
"8","Findling, Robert","","Conflicts of interest. Affiliations with: Kennedy Krieger Institute, Johns Hopkins University, Bristol-Meyers Squibb (9/10 Authors), Otsuka Pharmaceutical Co, Genzyme Corp","January 2014","Journal of Clinical Psychiatry","Randomized placebo controlled relapse prevention trial","17 F: 68 M","2-15 mg/d, flexible dose; Mean dose: ","69.4% white; 22.4% black;                           3% Asian; 1% American Indian/Alaska Native;                                        13% other","9/10 authors associated with Otsuka Pharmaceuticals and Bristol-Myers Squibb, both of which are primary shareholders in Abilify. "
"5","Marcus, Ronald N. ","","Several authors are affiliated with Otsuka Pharmaceutical Development and Bristol-Myers Squibb. ","November 2009","The American Journal of Child Adolescent Psychiatry","RPCT Fixed-Dose l ","195 M","5, 10, or 15 mg/d","155 White; 50 Black; 6 Asian; 7 Other",""
"6","Marcus, Ronald N. ","","Several authors are affiliated with Otsuka Pharmaceutical Development and Bristol-Myers Squibb. ","November 2009","The American Journal of Child Adolescent Psychiatry","RPCT Fixed-Dose l ","195 M","5, 10, or 15 mg/d","155 White; 50 Black; 6 Asian; 7 Other",""
"7","Marcus, Ronald N. ","","Several authors are affiliated with Otsuka Pharmaceutical Development and Bristol-Myers Squibb. ","November 2009","The American Journal of Child Adolescent Psychiatry","RPCT Fixed-Dose l ","195 M","5, 10, or 15 mg/d","155 White; 50 Black; 6 Asian; 7 Other",""
"8","Marcus, Ronald N. ","","Several authors are affiliated with Otsuka Pharmaceutical Development and Bristol-Myers Squibb. ","November 2009","The American Journal of Child Adolescent Psychiatry","RPCT Fixed-Dose l ","195 M","5, 10, or 15 mg/d","155 White; 50 Black; 6 Asian; 7 Other",""
"5","Owen, Randall","10.1542/peds.2008-3782","Funding provided by Bristol-Myers Squibb Co and Otsuka Pharmaceutical Co. ","December 2009","American Academy of Pediatrics","Randomized Double-blind Placebo Controlled  ","86 M: 12 F","Flexible dose: 5, 10, or 15 mg/d","73 White; 18 Black; 2 Asian; 5 Other","Bristol-Myers Squibb Company paid over $515 million to the U.S. government to resolve fraudulent marketing and pricing schemes.  This settlement included 7 qui tam actions. The FDA mandated that the package for Abilify carry a ""black box"" warning for use with dementia-related psychosis. BMS knowingly promoted the same and use of Abilify for pediatric use and to treat demntia-related psychosis.  https://www.justice.gov/archive/opa/pr/2007/September/07_civ_782.html"
"6","Owen, Randall","10.1542/peds.2008-3782","Funding provided by Bristol-Myers Squibb Co and Otsuka Pharmaceutical Co. ","December 2009","American Academy of Pediatrics","Randomized Double-blind Placebo Controlled  ","86 M: 12 F","Flexible dose: 5, 10, or 15 mg/d","73 White; 18 Black; 2 Asian; 5 Other","Bristol-Myers Squibb Company paid over $515 million to the U.S. government to resolve fraudulent marketing and pricing schemes.  This settlement included 7 qui tam actions. The FDA mandated that the package for Abilify carry a ""black box"" warning for use with dementia-related psychosis. BMS knowingly promoted the same and use of Abilify for pediatric use and to treat demntia-related psychosis.  https://www.justice.gov/archive/opa/pr/2007/September/07_civ_782.html"
"7","Owen, Randall","10.1542/peds.2008-3782","Funding provided by Bristol-Myers Squibb Co and Otsuka Pharmaceutical Co. ","December 2009","American Academy of Pediatrics","Randomized Double-blind Placebo Controlled  ","86 M: 12 F","Flexible dose: 5, 10, or 15 mg/d","73 White; 18 Black; 2 Asian; 5 Other","Bristol-Myers Squibb Company paid over $515 million to the U.S. government to resolve fraudulent marketing and pricing schemes.  This settlement included 7 qui tam actions. The FDA mandated that the package for Abilify carry a ""black box"" warning for use with dementia-related psychosis. BMS knowingly promoted the same and use of Abilify for pediatric use and to treat demntia-related psychosis.  https://www.justice.gov/archive/opa/pr/2007/September/07_civ_782.html"
"8","Owen, Randall","10.1542/peds.2008-3782","Funding provided by Bristol-Myers Squibb Co and Otsuka Pharmaceutical Co. ","December 2009","American Academy of Pediatrics","Randomized Double-blind Placebo Controlled  ","86 M: 12 F","Flexible dose: 5, 10, or 15 mg/d","73 White; 18 Black; 2 Asian; 5 Other","Bristol-Myers Squibb Company paid over $515 million to the U.S. government to resolve fraudulent marketing and pricing schemes.  This settlement included 7 qui tam actions. The FDA mandated that the package for Abilify carry a ""black box"" warning for use with dementia-related psychosis. BMS knowingly promoted the same and use of Abilify for pediatric use and to treat demntia-related psychosis.  https://www.justice.gov/archive/opa/pr/2007/September/07_civ_782.html"
"9","Ghanizadeh, Ahmed","","No conflicts of interest. ","June 26, 2013","Child Psychiatry and Human Development","Randomized Double-blind Placebo Controlled ; head to head comparison","48 M: 11 F","Aripiprazole mean: 5.5 mg/d; Risperidone mean: 1.12 mg/d. Max dose for aripiprazole was 15 mg/d and 3 mg/d for risperidone. ","""No stratification considering factors, such as age, gender, diagnoses was conducted."" ","The dosage was flexible based on efficacy in the individual subjects. Aripiprazole and risperidone are the only FDA approved medications for treating maladaptive behaviors in autism. "
"10","DeVane, C.","10.1002/phar.2271","No conflicts of interest. ","June 2019","Pharmacotherapy","randomized double-blind parallel-group","48 M: 13 F","aripiprazole: 2-15 mg/d; risperidone: 0.5-3.0 mg/d","38 white; 19 black; 2 mixed (white/black); 1 mixed (white/Native American); 1 Asian","Biomarkers in Autism of Aripiprazole and Risperdione Treatment (BAART)"
"11","Harfterkamp, Myriam ","","No conflicts of interest reported. ","July 1, 2012","Child and Adolescent Psychiatry","Randomized Double-blind Placebo Controlled  ","","1.2 mg/dk/d","","Could only access the abstract, will add the last bits of information when accessed. "
"12","Harfterkamp, Myriam ","","No conflicts of interest reported. ","July 1, 2012","Child and Adolescent Psychiatry","Randomized Double-blind Placebo Controlled  ","","1.2 mg/dk/d","","Could only access the abstract, will add the last bits of information when accessed. "
"13","Harfterkamp, Myriam ","","No conflicts of interest reported. ","July 1, 2012","Child and Adolescent Psychiatry","Randomized Double-blind Placebo Controlled  ","","1.2 mg/dk/d","","Could only access the abstract, will add the last bits of information when accessed. "
"11","Harfterkamp, Myriam","","","May 28, 2012","Journal of the American Academy of Child and Adolescent Psychiatry ","Randomized Double-blind Placebo Controlled ","","1.2 mg/kg/d","","Trial for patients with ADHD and ASD (comorbid). https://www.jaacap.org/article/S0890-8567(12)00307-3/fulltext"
"12","Harfterkamp, Myriam","","","May 28, 2012","Journal of the American Academy of Child and Adolescent Psychiatry ","Randomized Double-blind Placebo Controlled ","","1.2 mg/kg/d","","Trial for patients with ADHD and ASD (comorbid). https://www.jaacap.org/article/S0890-8567(12)00307-3/fulltext"
"13","Harfterkamp, Myriam","","","May 28, 2012","Journal of the American Academy of Child and Adolescent Psychiatry ","Randomized Double-blind Placebo Controlled ","","1.2 mg/kg/d","","Trial for patients with ADHD and ASD (comorbid). https://www.jaacap.org/article/S0890-8567(12)00307-3/fulltext"
"11","Handen, Benjamin","","","September 2, 2015","Journal of the American Academy of Child and Adolescent Psychiatry ","Randomized, Double-blind, 2x2 trial of ATX and Parent Training, Placebo Controlled ","","max: 1.8 mg/kg/d","",""
"12","Handen, Benjamin","","","September 2, 2015","Journal of the American Academy of Child and Adolescent Psychiatry ","Randomized, Double-blind, 2x2 trial of ATX and Parent Training, Placebo Controlled ","","max: 1.8 mg/kg/d","",""
"13","Handen, Benjamin","","","September 2, 2015","Journal of the American Academy of Child and Adolescent Psychiatry ","Randomized, Double-blind, 2x2 trial of ATX and Parent Training, Placebo Controlled ","","max: 1.8 mg/kg/d","",""
"14","Mahdavinsasab, Seyedeh-Mahsa","","No conflicts of interest reported. ","April 12, 2019","European Child & Adolescent Psychiatry","Randomized Double-blind Placebo Controlled  ","46 M: 18 F","Baclofen: 0.6 mg Kg^-1 3x/day; Max dose of Risperidone was 1 mg/d for pts under 20kg and 2 mg/d for pts 20 kgo","Not reported. ","""TheA35:V35 present randomized-controlled trial provided the first clinical evidence of safety and efficacy of baclofen as an adjuvant to risperidone to improve hyperactivity symptoms in children with ASD."" There have been multiple trials with Baclofen in mice. As we"
"15","Mahdavinsasab, Seyedeh-Mahsa","","No conflicts of interest reported. ","April 12, 2019","European Child & Adolescent Psychiatry","Randomized Double-blind Placebo Controlled  ","46 M: 18 F","Baclofen: 0.6 mg Kg^-1 3x/day; Max dose of Risperidone was 1 mg/d for pts under 20kg and 2 mg/d for pts 20 kgo","Not reported. ","""TheA35:V35 present randomized-controlled trial provided the first clinical evidence of safety and efficacy of baclofen as an adjuvant to risperidone to improve hyperactivity symptoms in children with ASD."" There have been multiple trials with Baclofen in mice. As we"
"14","Mahdavinsasab, Seyedeh-Mahsa","10.1007/s00787-019-01333-5","No conflicts of interest reported. ","April 2019","European Child & Adolescent Psychiatry","Randomized Double-blind Placebo Controlled  ","46 M: 18 F","Baclofen: 0.6mg Kg^-1 3x/day; Max dose of Risperidone was 1mg/day for pts under 20kg and 2mg/day for pts 20kg and over","Not reported. ","""TheA35:V35 present randomized-controlled trial provided the first clinical evidence of safety and efficacy of baclofen as an adjuvant to risperidone to improve hyperactivity symptoms in children with ASD."" There have been multiple trials with Baclofen in mice. As we"
"15","Mahdavinsasab, Seyedeh-Mahsa","10.1007/s00787-019-01333-5","No conflicts of interest reported. ","April 2019","European Child & Adolescent Psychiatry","Randomized Double-blind Placebo Controlled  ","46 M: 18 F","Baclofen: 0.6mg Kg^-1 3x/day; Max dose of Risperidone was 1mg/day for pts under 20kg and 2mg/day for pts 20kg and over","Not reported. ","""TheA35:V35 present randomized-controlled trial provided the first clinical evidence of safety and efficacy of baclofen as an adjuvant to risperidone to improve hyperactivity symptoms in children with ASD."" There have been multiple trials with Baclofen in mice. As we"
"16","Hollander, E","10.1001/jamapsychiatry.2022.1717","Hoffman-La Roche Ltd.","July 2022","JAMA Psychiatry","RCT","139 M: 28 F","4 mg or 10 mg","133 white; 10 Asian; 8 black/African American; 1 Pacific Islander; 13 multiple; 2 unknown",""
"17","Lemonnier, E","10.1038/tp.2012.124","No conflicts of interest. ","December 11, 2012","Translational Psychiatry ","Randomized Double-blind Placebo Controlled  ","89% M; 11% F","0.5 mg BID","not reported",""
"18","Lemonnier, E","10.1038/tp.2012.124","No conflicts of interest. ","December 11, 2012","Translational Psychiatry ","Randomized Double-blind Placebo Controlled  ","89% M; 11% F","0.5 mg BID","not reported",""
"19","Lemonnier, E","10.1038/tp.2012.124","No conflicts of interest. ","December 11, 2012","Translational Psychiatry ","Randomized Double-blind Placebo Controlled  ","89% M; 11% F","0.5 mg BID","not reported",""
"17","Dai, Yuan","https://doi.org/10.1016/j.scib.2021.01.008","No conflicts of interest","Dec-20","Science Bulletin","RCT","19 F: 100 M","0.5 mg BID","not reported",""
"18","Dai, Yuan","https://doi.org/10.1016/j.scib.2021.01.008","No conflicts of interest","Dec-20","Science Bulletin","RCT","19 F: 100 M","0.5 mg BID","not reported",""
"19","Dai, Yuan","https://doi.org/10.1016/j.scib.2021.01.008","No conflicts of interest","Dec-20","Science Bulletin","RCT","19 F: 100 M","0.5 mg BID","not reported",""
"17","Sprengers, Jan","10.1016/j.jaac.2020.07.888","ZonMW, NOW, Aspect Neuroprofiles BC","July 2020","Journal of the American Academy of Child & Adolescent Psychiatry","Randomized Double-blind Placebo Controlled ","63 M: 29 F","0.03 mg/kg BID for <30kg; 1.0 mg BID for 30 kgo - participants supplemented with potassium chloride: 0.5 mmol/kg if <30kg, or 8 mmol BID if 30 kgo","not reported",""
"18","Sprengers, Jan","10.1016/j.jaac.2020.07.888","ZonMW, NOW, Aspect Neuroprofiles BC","July 2020","Journal of the American Academy of Child & Adolescent Psychiatry","Randomized Double-blind Placebo Controlled ","63 M: 29 F","0.03 mg/kg BID for <30kg; 1.0 mg BID for 30 kgo - participants supplemented with potassium chloride: 0.5 mmol/kg if <30kg, or 8 mmol BID if 30 kgo","not reported",""
"19","Sprengers, Jan","10.1016/j.jaac.2020.07.888","ZonMW, NOW, Aspect Neuroprofiles BC","July 2020","Journal of the American Academy of Child & Adolescent Psychiatry","Randomized Double-blind Placebo Controlled ","63 M: 29 F","0.03 mg/kg BID for <30kg; 1.0 mg BID for 30 kgo - participants supplemented with potassium chloride: 0.5 mmol/kg if <30kg, or 8 mmol BID if 30 kgo","not reported",""
"20","Ghanizadeh, Ahmed","https://doi.org/10.1016/j.pediatrneurol.2014.09.017","","October 2014","Pediatric Neurology","RCT","","mean: 6.7 mg/d (SD 2.7)","",""
"21","Chugani, Diane","","No conflicts of interest. ","March 2016","The Journal of Pediatrics","Randomized Double-blind Placebo Controlled  ","29 F: 137 M","Placebo; 2.5mg (n=54) po BID; 5.0mg po BID (n=55) ","1% American Indian/Alaska Native; 1% Asian; 31% Black/African American; 2% Hawaiian; 58% White; 7% Other","This trial supports that lower dosage of buspirone could be more beneficial than higher doses in improving social competency, and reducing restrictive and repetitive behaviors in children with ASD."
"22","Aran, Adi","10.1186/s13229-021-00420-2","BOL Pharma (Aran and Castellanos)","2021","Molecular Autism","Randomized Double-blind Placebo Controlled   - Crossover","80% M: 20% F","20-40 kg: 1 mg/kg/d CBD and 0.5 mg/kg/d THC; 40 kgo: 7.5 mg/kg/d CBD and 0.375 mg/kd/d THC","not reported",""
"23","Asadabadi, Mahtab","https://doi.org/10.1007/s00213-012-2796-8","No conflicts of interest","July 2012","Psychopharmacology","RCT","25 M: 15 F","risperidone max: 3 mg/d; celecoxib max: 300 mg/d","Not reported. ",""
