"treatment_id","first_author","doi","commercial_affiliation","publication_date","journal","study_type","gender_ratio","dose_range","race_ethnicity","notes"
"60","Aman, Michael; RUPP","","","March 29, 2005","Arch Gen Psychiatry","RPCT - Crossover","59 M: 7 F","Weight-dependent dosing -  Low dose: 2.5-5.0 mg TID; Mediium dose: 2.5-10.0 mg TID; high dose: 5.0-20.0 TID. See note for more info on dosage.","48 white; 9 black/African American; 6 Asian; 3 Hispanic or Latino","Methylphenidate dosing based on weight. The mean weight of pts was 30.4 kg (SD: 14.3 kg). Doses were administered 3 times per day (8 am, 12 pm, 4 pm). Low dose - 0.125 mg/kg, medium dose - 0.250 mg/kd, high dose - 0.500 mg/kg, per dose. ""Methylphenidate was consistently more efficacious in improving inattention, distractability, hyperactivity, and impulsivity than placebo was, as rated by the ABC hyperactivity scale... small to medium magnitude of response."""
"61","Aman, Michael; RUPP","","","March 29, 2005","Arch Gen Psychiatry","RPCT - Crossover","59 M: 7 F","Weight-dependent dosing -  Low dose: 2.5-5.0 mg TID; Mediium dose: 2.5-10.0 mg TID; high dose: 5.0-20.0 TID. See note for more info on dosage.","48 white; 9 black/African American; 6 Asian; 3 Hispanic or Latino","Methylphenidate dosing based on weight. The mean weight of pts was 30.4 kg (SD: 14.3 kg). Doses were administered 3 times per day (8 am, 12 pm, 4 pm). Low dose - 0.125 mg/kg, medium dose - 0.250 mg/kd, high dose - 0.500 mg/kg, per dose. ""Methylphenidate was consistently more efficacious in improving inattention, distractability, hyperactivity, and impulsivity than placebo was, as rated by the ABC hyperactivity scale... small to medium magnitude of response."""
"62","Aman, Michael; RUPP","","","March 29, 2005","Arch Gen Psychiatry","RPCT - Crossover","59 M: 7 F","Weight-dependent dosing -  Low dose: 2.5-5.0 mg TID; Mediium dose: 2.5-10.0 mg TID; high dose: 5.0-20.0 TID. See note for more info on dosage.","48 white; 9 black/African American; 6 Asian; 3 Hispanic or Latino","Methylphenidate dosing based on weight. The mean weight of pts was 30.4 kg (SD: 14.3 kg). Doses were administered 3 times per day (8 am, 12 pm, 4 pm). Low dose - 0.125 mg/kg, medium dose - 0.250 mg/kd, high dose - 0.500 mg/kg, per dose. ""Methylphenidate was consistently more efficacious in improving inattention, distractability, hyperactivity, and impulsivity than placebo was, as rated by the ABC hyperactivity scale... small to medium magnitude of response."""
"59","Handen, BL","PUBMED: 11055460","No conflicts of interest","2000","Journal of Autism & Developmental Disorders","double-blind, randomized, placebo-controlled, cross-over","10 M: 3 F","0.3 mg/kg and 0.6 mg/kg 2-3x per day","7 African American; 4 white; 2 Latino",""
"60","Handen, BL","PUBMED: 11055460","No conflicts of interest","2000","Journal of Autism & Developmental Disorders","double-blind, randomized, placebo-controlled, cross-over","10 M: 3 F","0.3 mg/kg and 0.6 mg/kg 2-3x per day","7 African American; 4 white; 2 Latino",""
"61","Handen, BL","PUBMED: 11055460","No conflicts of interest","2000","Journal of Autism & Developmental Disorders","double-blind, randomized, placebo-controlled, cross-over","10 M: 3 F","0.3 mg/kg and 0.6 mg/kg 2-3x per day","7 African American; 4 white; 2 Latino",""
"62","Handen, BL","PUBMED: 11055460","No conflicts of interest","2000","Journal of Autism & Developmental Disorders","double-blind, randomized, placebo-controlled, cross-over","10 M: 3 F","0.3 mg/kg and 0.6 mg/kg 2-3x per day","7 African American; 4 white; 2 Latino",""
"59","Pearson, DA","https://doi.org/10.1089/cap.2012.0096","The authors report having received financial support from pharmaceutical companies (including manufacturers of pharmaceuticals for behavioral syndromes)","2013","Journal of Child and Adolescent Psychopharmacology","double-blind, placebo-controlled, cross-over","19 M: 5 F","","13 white; 5 Hispanic; 4 African-American; 1 Asian; 1 multiple races",""
"60","Pearson, DA","https://doi.org/10.1089/cap.2012.0096","The authors report having received financial support from pharmaceutical companies (including manufacturers of pharmaceuticals for behavioral syndromes)","2013","Journal of Child and Adolescent Psychopharmacology","double-blind, placebo-controlled, cross-over","19 M: 5 F","","13 white; 5 Hispanic; 4 African-American; 1 Asian; 1 multiple races",""
"61","Pearson, DA","https://doi.org/10.1089/cap.2012.0096","The authors report having received financial support from pharmaceutical companies (including manufacturers of pharmaceuticals for behavioral syndromes)","2013","Journal of Child and Adolescent Psychopharmacology","double-blind, placebo-controlled, cross-over","19 M: 5 F","","13 white; 5 Hispanic; 4 African-American; 1 Asian; 1 multiple races",""
"62","Pearson, DA","https://doi.org/10.1089/cap.2012.0096","The authors report having received financial support from pharmaceutical companies (including manufacturers of pharmaceuticals for behavioral syndromes)","2013","Journal of Child and Adolescent Psychopharmacology","double-blind, placebo-controlled, cross-over","19 M: 5 F","","13 white; 5 Hispanic; 4 African-American; 1 Asian; 1 multiple races",""
"59","Quintana, H","PUBMED: 7559293","No conflicts of interest ","1995","Journal of Autism and Developmental Disorders","Double blind - crossover","6 M: 4 F","10-20 mg BID","Not reported",""
"60","Quintana, H","PUBMED: 7559293","No conflicts of interest ","1995","Journal of Autism and Developmental Disorders","Double blind - crossover","6 M: 4 F","10-20 mg BID","Not reported",""
"61","Quintana, H","PUBMED: 7559293","No conflicts of interest ","1995","Journal of Autism and Developmental Disorders","Double blind - crossover","6 M: 4 F","10-20 mg BID","Not reported",""
"62","Quintana, H","PUBMED: 7559293","No conflicts of interest ","1995","Journal of Autism and Developmental Disorders","Double blind - crossover","6 M: 4 F","10-20 mg BID","Not reported",""
"63","McDougle, Christopher J. ","","","Mar-22","Neuropsychopharmacology","RCT","","7.5-45 mg/d","",""
"64","Bernaerts, Sylvie","10.1186/s13229-020-0313-1","No conflicts of interest. ","January 15, 2020","BioMed Central","RPCT - Pilot, parallel design ","100% M","24 IU qD ","not reported","This study assesses the long-term effects of intranasal oxytocin treatment. ""Long-term beneficial effects on repetitive behaviors and feelings of avoidance are promising and suggestive of a therapeutic potential of oxytocin treatment for ASD."""
"65","Dean, Olivia ","","No conflicts of interest reported. ","June 17, 2016","Australian and New Zealand Journal of Psychiatry","RPCT, Parallel ","79 M: 19 F","500 mg/d","","Can only access the abstract, so some data is unknown. ""This study failed to demonstrate any benefit of adjunctive N-acetylcysteine in treating autistic disorder. While this may reflect a true null result, methodological issues particularly the lower dose utilised in this study may be cofounders."""
"66","Campbell, Magda","","No conflicts of interest reported. ","1993","Journal of the American Academy of Child and Adolescent Psychiatry","Randomized Double-blind Placebo Controlled ","","","","""Naltrexone does not appear to have robust effects targeting ASD-Associated aggression, although it may have some impact on hyperactivity in the population"" (Fitzpatrick)"
"67","Campbell, Magda","","No conflicts of interest reported. ","1993","Journal of the American Academy of Child and Adolescent Psychiatry","Randomized Double-blind Placebo Controlled ","","","","""Naltrexone does not appear to have robust effects targeting ASD-Associated aggression, although it may have some impact on hyperactivity in the population"" (Fitzpatrick)"
"66","Campbell, Magda","","","","Journal of the American Academy of Child and Adolescent Psychiatry ","Randomized Double-blind Placebo Controlled ","21 M: 3 F","1.0 mg/kg/d","21 white; 3 African-American (""Race was not associated with socioeconomic status in this sample.""",""
"67","Campbell, Magda","","","","Journal of the American Academy of Child and Adolescent Psychiatry ","Randomized Double-blind Placebo Controlled ","21 M: 3 F","1.0 mg/kg/d","21 white; 3 African-American (""Race was not associated with socioeconomic status in this sample.""",""
"68","Hollander, Eric","","","2006","Journal of Child and Adolescent Psychopharmacology","Randomized Double-blind Placebo Controlled   - Pilot","","7.5-12.5 mg/d; mean: 10 (SD: 2.4 mg/d)","","Very small treatment group."
"69","Bent, Stephen","","No conflicts of interest reported. ","August 4, 2010","Springer Link","Randomized Double-blind Placebo Controlled  ","Not reported. ","1.3 g/d","Not reported. ",""
"70","Hardan, Antonio","10.1016/j.biopsych.2012.01.014.","Bristol-Myers Squibb Co., Forest Pharmaceuticals, Shire Development, Inc. and Bioadvantex, Inc. ","June 1, 2012","Biological Psychiatry ","RPCT, Pilot","31 M: 2 F","max: 2700mg/d; 900mg/d for the first 4 weeks, 900mg BID  for the next 4 weeks; 900mg 3x/day for the remainder.  ","""There were no differences between the placebo group and active group on any of the demographic and clinical baseline measures.""",""
"71","Sikich, Linmarie","10.1056/NEJMoa2103583","No conflcits of interest","October 2021","The New England Journal of Medicine","RCT","142 M: 35 F","48 IU-80 IU daily; mean maximal daily dose: 69 SD: 16.9 IU","204 white; 23 black; 23 Asian; 23 multiracial; 28 Hispanic","Flexible dose strategy used could be a limitation"
"72","Yamasue, Hidenori","10.1038/s41380-018-0097-2","","2020","Molecular Psychiatry","Randomized Double-blind Placebo Controlled  ","","48 IU/d","",""
"73","Akhondzadeh, Shahin","","","2009","Progress in Neuro-Psychopharmacology and Biological Psychiatry","Randomized Double-blind Placebo Controlled ","","Risperidone- 3 mg/d + pentoxifylline- 600 mg/d, or + placebo","","https://www.sciencedirect.com/science/article/abs/pii/S0278584609003091"
"74","Akhondzadeh, Shahin","","None reported. ","October 11, 2007","Child Psychiatry and Human Development","Randomized Double-blind Placebo Controlled  ","30 M: 10 F","Risperidone: 2 mg/d for children 10-40 kg; 3 mg/d for children 40 kgo; Piracetam: up to 800 mg/d","Not reported.","Risperidone adjuvant piracetam proved to show markedly greater improvements in ASD symptoms than risperidone by itself. ""The results suggest that a combination of atypical antipsychotic medications and a glutamate agent such as piracetam, might have increase synergistic effects..."" when treating disruptive symptoms in ASD. "
"75","Grimaldi, R.","https://doi.org/10.1186/s40168-018-0523-3","Clasado Research Services Ltd (provided prebiotic and funding)","2018","Microbiome","RCT","31 M: 10 F","prebiotic B-GOS mixture (Bimuno, 80% GOS content): 1.8 g, and exclusion dieet (gluten and casein free)","Not reported","Four arm trial - exclusion diet + B-GOS, exclusion diet + placebo, unrestricted diet + B-GOS, unrestricted diet + placebo"
"76","Arnold, Eugene ","","","November 9, 2019","Journal of Child and Adolescent Psychopharmacology","RPCT - Pilot ","","","",""
"79","Arnold, Eugene ","","","November 9, 2019","Journal of Child and Adolescent Psychopharmacology","RPCT - Pilot ","","","",""
"77","Arnold, Eugene","","","2019","Journal of Child and Adolescent Psychopharmacology","RPCT- Pilot","6 M: 4 F","","5 Black; 3 white; 2 other/multiracial",""
"78","Arnold, Eugene","","","2019","Journal of Child and Adolescent Psychopharmacology","RPCT- Pilot","6 M: 4 F","","5 Black; 3 white; 2 other/multiracial",""
"77","Santocchi, Elisa","https://doi.org/10.3389/fpsyt.2020.550593","","September 2020","Frontiers in Psychiatry","RCT","84% M","2 packets/day in first month, then 1 packet/day for the remainder","",""
"78","Santocchi, Elisa","https://doi.org/10.3389/fpsyt.2020.550593","","September 2020","Frontiers in Psychiatry","RCT","84% M","2 packets/day in first month, then 1 packet/day for the remainder","",""
"76","Parracho","","","2010","","RCT - crossover","","L. plantarum WCFSI 45 billion CFU/capsule","",""
"79","Parracho","","","2010","","RCT - crossover","","L. plantarum WCFSI 45 billion CFU/capsule","",""
"80","Liu, Yen-Wenn","10.3390/nu11040820","Bened Biomedical Co., Ltd.","April 2019","Nutrients","RCT","All male","3 x 10^10 CFU/capsule of PS128","",""
"81","Schroder, Carmen M.","10.1089/cap.2018.0020","","May 11, 2019","Journal of Autism & Developmental Disorders","Randomized Double-blind Placebo Controlled  ","92 M: 33 F","2-5 mg","112 white; 9 black or african american; 6 other; 2 Asian","""PedPRM alleviates insomnia related difficulties, particularly externalizing behavior in the children, subsequently improving caregivers' quality of life."" "
"82","Gringras, Paul","","Neurim Pharmaceuticals, Akili, Alcobra, KemPharm, Pfizer, Purdue, Roche, Sage, Shire, Sunovion, Supernus Pharmaceuticals, Syneurx, Takeda, Teva, Touchpoint, Tris, Validus, and WebMD","November 2017","Journal of the American Academy of Child and Adolescent Psychiatry ","Randomized Double-blind Placebo Controlled  ","92 M: 33 F","2-5 mg","112 white; 9 black; 2 Asian; 6 other",""
"83","Williams, Daniel T. ","","Not reported","1982","Journal of the American Academy of Child and Adolescent Psychiatry","Retrospective study","26 M: 4 F","50-960 mg/d; mean: 160 mg/d","",""
"84","Ameis, Stephanie","doi:10.1016/j.brs.2020.01.007.","Brainsway Ltd","2020","Brain Stimulation","RCT - sham controlled","28 M: 12 F","20 Hz rTMS targeting DLPFC","",""
"85","Ameis, Stephanie","","No conflicts of interest. ","2017","Journal of Child and Adolescent Psychopharmacology","Randomized Double-blind Placebo Controlled  ","Not reported. ","20 Hz rTMS applied to dorsolateral prefontal cortex","","All psychiatric medications were continued throughout trial. "
"86","Hendouei, Fatemeh","10.1111/jcpt.13076","No conflicts of interest","2020","Journal of Clinical Pharmacy and Therapeutics","Randomized Double-blind Placebo Controlled ","50 M: 12 F","risperidone: and resveratrol: 250 mg BID, or plus placebo","Not reported",""
"87","Wink, Logan K.","","No conflicts of interest. ","Aprill 11, 2018","Journal of Autism & Developmental Disorders","Randomized Double-blind Placebo Controlled   - Crossover","7 M:1 F","200 mg/d","5 white; 1 African-American; 1 hispanic",""
"88","Ghaleiha, Ali","","No conflicts of interest or commercial funding.","July 3, 2013","Pediatric Drugs","Randomized Double-blind Placebo Controlled ","33 M: 7 F","Risperidone- 2 or 3 mg/d (both based on body weight) + Riluzole- 50 or 100 mg/d; or + placebo","Not reported. No significant differences between tx group baseline characteristics.","""...Significance was reached on the irritability and hyperactivity/noncompliance subscales scores by the middle of the trial, suggesting an early impact of riluzole on behavioral disturbances. This finding is congruent with the formerly evident concept that pharmacological treatments are more efficient in ameliorating comorbid symptoms than in ameliorating core deficits in patients with autism"". "
"89","Aman, Michael","10.1089/cap.2007.0133","Affiliations with Bristol-Meyers Squibb Co, Johnson and Johnson, Forest Research Institute, Neuropharm, Supernus, Novartis, Organon, Janssen, and McNeil.","2008","Journal of Child and Adolescent Psychopharmacology","Randomized Double-blind Placebo Controlled ","9 F: 29 M","0.5-3.5 mg/d","81.57% White; 5.26% Black; 7.89% Asian/Pacific Islander; 5.26% Hispanic","Affiliations with Janssen, who manufactures risperidone and is also the company who assigned the drug order."
"89","Kent, Justine","10.1007/s10803-012-1723-5","Janssen, Bristol-Myers Squibb, Pfizer, Purdue Pharma, Forest","December 2012","Journal of Autism & Developmental Disorders","Randomized Double-blind Placebo Controlled ","","low dose: 0.125�mg/d [20 to <45�kg], 0.175�mg/d [>45�kg]; or high-dose: 1.25�mg/day [20 to <45�kg], 1.75�mg/day [>45�kg]) or placebo","",""
"90","McCracken, James ","","No conflicts of interest. ","August 1, 2002","The New England Journal of Medicine","Randomized Double-blind Placebo Controlled ","82 M: 19 F","0.5-3.5 mg/d; Mean: 1.8 mg/d","Not reported. "," "
"91","Ghanizadeh, Ahmad","","","January 2015","Pediatric Neurology","Randomized Double-blind Placebo Controlled ","","Buspirone: 10 mg/d for pts under 40 kg, and 20 mg/d for pts 40 kgo; Risperidone: 2 mg/d for pts under 40 kg, and 3 mg/d for pts 40 kgo","","""Buspirone may be considered for children with SIBs who have concomitant anxiety."" "
"92","Ghanizadeh, Ahmad","","No conflicts of interest. ","July 25, 2013","BioMed Central Psychiatry","Randomized Double-blind Placebo Controlled ","25 M: 15 F","NAC: 1200 mg/d (In 2 divided doses) + risperidone: 0.5-3 mg/d (m: 0.76), or risperidone (m: 0.92) + placebo. ","Baseline demographics not reported. ","Risperidone was flexibly dosed based on efficacy and weight. "
"93","Ghanizadeh, Ahmad","","No conflicts of interest. ","July 25, 2013","BioMed Central Psychiatry","Randomized Double-blind Placebo Controlled ","25 M: 15 F","NAC: 1200 mg/d (In 2 divided doses) + risperidone: 0.5-3 mg/d (m: 0.76), or risperidone (m: 0.92) + placebo. ","Baseline demographics not reported. ","Risperidone was flexibly dosed based on efficacy and weight. "
"92","Nikoo, Mohammadali","","No conflicts of interest. ","January 2015","Clinical Neuropharmacology","Randomized Double-blind Placebo Controlled ","","NAC: 600-900 mg/d (3 divided doses) + risperidone: 1-2 mg/d, or + placebo","Baseline characteristics were not significantly different in the participants.",""
"93","Nikoo, Mohammadali","","No conflicts of interest. ","January 2015","Clinical Neuropharmacology","Randomized Double-blind Placebo Controlled ","","NAC: 600-900 mg/d (3 divided doses) + risperidone: 1-2 mg/d, or + placebo","Baseline characteristics were not significantly different in the participants.",""
"94","Rezaei, Vala","10.1016/j.pnpbp.2010.07.005","","July 2010","Progress in Neuro-Psychopharmacology and Biological Psychiatry","Randomized Double-blind Placebo Controlled ","27 M: 13 F","Risperidone: 2 mg/d for pts under 40 kg and 3 mg/d for pt 40 kgo; Topirimate: 100 mg/d for pts under 30kg and 200 mg/d for pt 30 kgo","",""
"95","Miral, Suha","","","December 13, 2007","European Child & Adolescent Psychiatry","Randomized Double-blind Placebo Controlled  ","","0.01-0.08 mg/kg/d","",""
"96","Potter, Laura ","10.3389/fpsyt.2019.00810","No conflicts of interest. ","November 6, 2019","Frontiers in psychiatry","Randomized Double-blind Placebo Controlled  ","46 M: 12 F","2.5 mg/d for participants 4yo; 5.0 mg/d for participants 4yo ","7 Black; 11 Asian; 3 Other/unknown; 37 White","""The trial drew subjects mainly from the northern California area, out of convenience. Thus, the study sample may not be representative of the greater population of children with ASD."""
"97","Singh, Kanwaljit","","The Johns Hopkins University has applied to patent this. Not a commercial product. ","October 28, 2014","PNAS","Randomized Double-blind Placebo Controlled  ","100% M","50-150 umol","39 White; 2 Black; 1 Hispanic; 2 Asian","Limitations: the study only tested males who were primarily caucasian. ""�responses to sulforaphane in this study appeared over several weeks. This finding suggests that sulforaphane may cause increases in gene transcription in multiple underperforming cell-signaling pathways."""
"98","Klaiman, Cheryl","","Funded by Biomarin Pharmaceuticals","November 5, 2009","Journal of Child and Adolescent Psychopharmacology","Randomized Double-blind Placebo Controlled ","38 M: 8 F","20 mg/kg/d","21 White; 14 Asian-Pacific Islander; 3 African American; 1 Hispanic; 7 Other",""
"99","Qui, Jiujun","10.1155/2021/6627507","No conflict of interest","June 2021","Neural Plasticity","RCT","30 M: 10 F","tDCS over the left dorsal lateral prefrontal cortex (DLPFC) 5x/week","",""
"100","Darwish, Mohamed","","No conflicts of interest. ","June 2021","The Egyptian Journal of Otalaryngology","RCT","20 M: 10 F","Once per week over the left frontal gyrus: low frequency of 1.0 Hz and 70% of the motor threshold, total 1800 pulses per day session with 20 trains with 90 pulses each ","Not reported",""
"101","Hellings, Jessica","","","","Journal of Child and Adolescent Psychopharmacology","Randomized Double-blind Placebo Controlled ","20 M: 10 F","","27 White; 2 Black; 1 Hispanic ",""
"102","Mazahery, Hajar","","No conflicts of interest. ","January 3, 2019","Journal of Autism & Developmental Disorders","Randomized Double-blind Placebo Controlled  ","100 M: 17 F","2000 IU Vitamin D3; 722mg Omega 3- docosahexaenoic acid; both; or placebo ","57 NZ European; 15 Maori; 13 Pacific Islander; 13 Asian; 18 Others",""
"103","Carminati, Giuliana","10.1016/j.pnpbp.2015.09.002","","September 2015","Progress in Neuropsychopharmacology & Biological Psychiatry","RCT","","18.75 mg/d venlafaxine","",""
"104","Parker, Karen","10.1126/scitranslmed.aau7356.","Janssen Pharmaceuticals, Syneos Health, Saniona, Vista Point Capital, Katana Pharmaceuticals, Anatomics, Ginex Inc., Trigemina Inc. ","May 2019","Science Translational Medicine","RCT","25 M: 25 F","6-9.5 y: max: 12 IU BID; 9.6-12.9 y: 16 IU BID","19 white, 11 ""other""",""
"105","Behmanesh, Helen","DOI:�10.1097/WNF.0000000000000368","","November 2019","Clinical Neuropharmacology","RCT","","","",""
