"treatment_id","pmid"
"33","40170032"
"34","36638598"
"34","40133861"
"35","39375937"
"35","39989401"
"36","39960783"
"37","39937336"
"38","38167302"
"38","39861928"
"39","39342272"
"39","39729835"
"40","39703999"
"41","39608635"
"42","37873560"
"42","39591434"
"43","39565505"
"44","39512897"
"45","39510775"
"46","39467676"
"47","39415148"
"49","39368459"
"50","39357740"
"52","39306958"
"53","39248107"
"54","39233512"
"55","39153149"
"56","39062003"
"57","39056559"
"58","39056514"
"59","38999736"
"60","38991740"
"61","38981573"
"62","38979764"
"63","38926739"
"64","38816827"
"65","38744742"
"66","38688101"
"67","38670664"
"68","38664754"
"69","38606582"
"70","38492129"
"71","38491260"
"72","38446265"
"73","38320845"
"74","38216125"
"75","35582893"
"75","37943121"
"75","38170431"
"77","38060224"
"78","38009186"
"79","37963634"
"81","37930738"
"82","37886114"
"84","37803891"
"85","37725597"
"86","37703248"
"87","37679711"
"88","37616029"
"89","37493149"
"90","37267443"
"91","37219040"
"92","37208894"
"93","37165863"
"94","37091539"
"95","37061694"
"96","36990468"
"97","36901415"
"98","36847894"
"100","36576640"
"101","36510817"
"102","36417403"
"103","36331688"
"104","36291419"
"105","35958966"
"105","36245883"
"105","36282407"
"106","36279220"
"108","36239830"
"109","36201889"
"110","36161554"
"111","36053934"
"113","35869533"
"114","35790873"
"115","35714757"
"116","35689137"
"117","35617670"
"119","35501967"
"120","35488976"
"121","35244056"
"122","35239083"
"123","35181532"